seccion,indicador,titulo,ambito,sexo,periodo,valor,unidad
epa,ocupados,Ocupados,espana,Ambos sexos,2002T1,16482.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2002T2,16766.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2002T3,16919.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2002T4,16991.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2003T1,17092.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2003T2,17423.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2003T3,17646.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2003T4,17740.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2004T1,17770.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2004T2,18018.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2004T3,18289.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2004T4,18490.8,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2005T1,18736.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2005T2,19160.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2005T3,19422.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2005T4,19509.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2006T1,19578.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2006T2,19891.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2006T3,20091.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2006T4,20195.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2007T1,20267.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2007T2,20580.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2007T3,20753.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2007T4,20717.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2008T1,20620.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2008T2,20646.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2008T3,20556.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2008T4,20055.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2009T1,19284.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2009T2,19154.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2009T3,19098.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2009T4,18890.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2010T1,18652.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2010T2,18751.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2010T3,18819.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2010T4,18674.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2011T1,18426.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2011T2,18622.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2011T3,18484.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2011T4,18153.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2012T1,17765.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2012T2,17758.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2012T3,17667.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2012T4,17339.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2013T1,17030.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2013T2,17160.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2013T3,17230.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2013T4,17135.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2014T1,16950.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2014T2,17353.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2014T3,17504.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2014T4,17569.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2015T1,17454.8,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2015T2,17866.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2015T3,18048.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2015T4,18094.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2016T1,18029.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2016T2,18301.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2016T3,18527.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2016T4,18508.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2017T1,18438.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2017T2,18813.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2017T3,19049.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2017T4,18998.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2018T1,18874.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2018T2,19344.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2018T3,19528.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2018T4,19564.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T1,19471.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T2,19804.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T3,19874.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2019T4,19966.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T1,19681.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T2,18607.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T3,19176.9,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2020T4,19344.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T1,19239.6,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T2,19716.1,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T3,20103.3,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2021T4,20274.8,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T1,20196.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T2,20607.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T3,20745.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2022T4,20640.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T1,20634.2,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T2,21258.4,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T3,21446.5,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2023T4,21389.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T1,21250.0,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T2,21684.7,miles de personas
epa,ocupados,Ocupados,espana,Ambos sexos,2024T3,21823.0,miles de personas
