
=== Convenios colectivos ===
  0 meses ya guardados
      cadena completada con http://www.cert.fnmt.es/certs/ACCOMP.crt
    2026M09: sin fichero
    2026M08: Castellón 3.7 %
    2026M07: Castellón 3.7 %
    2026M06: Castellón 3.66 %
    2026M05: Castellón 3.66 %
    2026M04: Castellón 3.57 %
    2026M03: Castellón 3.57 %
    2026M02: Castellón 2.82 %
    2026M01: Castellón 2.82 %
    2025M12: Castellón 3.15 %
    2025M11: Castellón 3.2 %
    2025M10: Castellón 3.2 %
    2025M09: Castellón 3.2 %
    2025M08: Castellón 2.83 %
    2025M07: Castellón 2.83 %
    2025M06: Castellón 2.89 %
    2025M05: Castellón 2.85 %
    2025M04: Castellón 2.86 %
    2025M03: Castellón 2.86 %
    2025M02: Castellón 2.86 %
    2025M01: Castellón 2.86 %
    2024M12: Castellón 3.28 %
    2024M11: Castellón 3.28 %
    2024M10: Castellón 3.28 %
    2024M09: Castellón 3.29 %
    2024M08: Castellón 3.29 %
    2024M07: Castellón 3.29 %
    2024M06: Castellón 3.29 %
    2024M05: Castellón 3.29 %
    2024M04: Castellón 3.29 %
    2024M03: Castellón 3.29 %
    2024M02: Castellón 3.29 %
    2024M01: Castellón 3.3 %
    2023M12: Castellón 3.96 %
    2023M11: Castellón 3.96 %
    2023M10: Castellón 3.96 %
    2023M09: Castellón 3.95 %
    2023M08: Castellón 3.94 %
    2023M07: Castellón 3.94 %
    2023M06: Castellón 3.94 %
    2023M05: Castellón 3.94 %
    2023M04: Castellón 3.79 %
    2023M03: Castellón 3.8 %
    2023M02: Castellón 3.83 %
    2023M01: Castellón 3.64 %
    2022M12: Castellón 2.88 %
    2022M11: Castellón 2.88 %
    2022M10: Castellón 2.87 %
    2022M09: Castellón 2.95 %
    2022M08: Castellón 2.95 %
    2022M07: Castellón 2.95 %
    2022M06: Castellón 2.96 %
    2022M05: Castellón 2.86 %
    2022M04: Castellón 2.48 %
    2022M03: Castellón 2.48 %
    2022M02: Castellón 1.6 %
    2022M01: Castellón 1.61 %
    2021M12: Castellón 1.34 %
    2021M11: Castellón 1.36 %
    2021M10: Castellón 1.31 %
    2021M09: Castellón 1.31 %
    2021M08: Castellón 1.31 %
    2021M07: Castellón 1.31 %
    2021M06: Castellón 1.32 %
    2021M05: Castellón 1.32 %
    2021M04: Castellón 1.26 %
    2021M03: Castellón 1.23 %
    2021M02: Castellón 1.23 %
    2021M01: Castellón 1.23 %
    2020M12: Castellón 2.07 %
    2020M11: Castellón 2.09 %
    2020M10: Castellón 2.2 %
    2020M09: Castellón 2.2 %
    2020M08: Castellón 2.2 %
    2020M07: Castellón 2.21 %
    2020M06: Castellón 2.23 %
    2020M05: Castellón 2.23 %
    2020M04: Castellón 2.23 %
    2020M03: Castellón 2.01 %
    2020M02: Castellón 2.01 %
    2020M01: Castellón 1.76 %
    2019M12: Castellón 1.72 %
    2019M11: Castellón 1.72 %
    2019M10: Castellón 1.72 %
    2019M09: Castellón 1.72 %
    2019M08: Castellón 1.72 %
    2019M07: Castellón 1.72 %
    2019M06: Castellón 1.72 %
    2019M05: Castellón 1.21 %
    2019M04: Castellón 1.18 %
    2019M03: Castellón 1.17 %
    2019M02: Castellón 1.15 %
    2019M01: Castellón 1.14 %
    2018M12: Castellón 1.32 %
    2018M11: Castellón 1.32 %
    2018M10: Castellón 1.33 %
    2018M09: Castellón 1.33 %
    2018M08: Castellón 1.31 %
    2018M07: Castellón 1.31 %
    2018M06: Castellón 1.29 %
    2018M05: Castellón 1.29 %
    2018M04: Castellón 1.07 %
    2018M03: Castellón 1.07 %
    2018M02: Castellón 1.06 %
    2018M01: Castellón 1.06 %
    2017M12: Castellón 1.47 %
    2017M11: Castellón 1.47 %
    2017M10: Castellón 1.47 %
    2017M09: Castellón 1.26 %
    2017M08: Castellón 1.26 %
    2017M07: Castellón 1.26 %
    2017M06: Castellón 1.16 %
    2017M05: Castellón 1.02 %
    2017M04: Castellón 1.02 %
    2017M03: Castellón 1.02 %
    2017M02: Castellón 1.02 %
    2017M01: Castellón 1.03 %
    2016M12: Castellón 0.74 %
    2016M11: Castellón 0.76 %
    2016M10: Castellón 0.75 %
    2016M09: Castellón 0.75 %
    2016M08: Castellón 0.75 %
    2016M07: Castellón 0.75 %
    2016M06: Castellón 0.75 %
    2016M05: Castellón 0.75 %
    2016M04: Castellón 0.75 %
    2016M03: Castellón 0.76 %
    2016M02: Castellón 0.76 %
    2016M01: Castellón 0.76 %
    2015M12: sin fichero
    2015M11: sin fichero
    2015M10: sin fichero
    2015M09: sin fichero
  133 peticiones · 128 meses en total
    escrito data/convenios/espana.json
    escrito data/convenios/comunitat-valenciana.json
    escrito data/convenios/castellon.json
  128 periodos: 2016M01 … 2026M08
